image,video_pred,minutage_pred
i000,v001,5.666666666666667
i001,v050,17.333333333333332
i002,out,
i003,v042,15.0
i004,v075,0.3333333333333333
i005,v048,12.333333333333334
i006,v042,5.666666666666667
i007,v021,17.333333333333332
i008,out,
i009,v064,9.0
i010,v059,9.333333333333334
i011,v001,5.666666666666667
i012,v062,12.666666666666666
i013,v016,4.333333333333333
i014,v089,5.0
i015,v095,0.0
i016,v094,7.0
i017,v010,9.0
i018,v081,2.6666666666666665
i019,v041,4.333333333333333
i020,v048,2.0
i021,v022,9.0
i022,out,
i023,v070,24.666666666666668
i024,v018,10.333333333333334
i025,v079,7.333333333333333
i026,v019,4.0
i027,v060,8.666666666666666
i028,out,
i029,v048,1.6666666666666667
i030,v012,4.666666666666667
i031,v008,6.666666666666667
i032,v022,8.0
i033,v010,5.333333333333333
i034,v048,13.666666666666666
i035,v076,4.666666666666667
i036,v032,18.0
i037,v077,13.333333333333334
i038,v079,1.3333333333333333
i039,v008,2.3333333333333335
i040,v046,4.0
i041,out,
i042,v056,1.0
i043,v034,1.6666666666666667
i044,v008,14.333333333333334
i045,v006,1.0
i046,v024,17.333333333333332
i047,v026,11.333333333333334
i048,v038,6.0
i049,v062,6.333333333333333
i050,v042,9.333333333333334
i051,v064,2.0
i052,v028,1.0
i053,v080,16.333333333333332
i054,v065,6.666666666666667
i055,out,
i056,v082,1.6666666666666667
i057,v030,11.333333333333334
i058,out,
i059,out,
i060,v056,14.0
i061,v076,8.666666666666666
i062,v024,9.0
i063,v095,1.0
i064,out,
i065,v024,13.0
i066,v019,1.3333333333333333
i067,out,
i068,v090,1.6666666666666667
i069,v013,12.333333333333334
i070,v027,3.6666666666666665
i071,v039,10.0
i072,v100,10.666666666666666
i073,v086,4.0
i074,v065,13.666666666666666
i075,v078,16.666666666666668
i076,v070,23.0
i077,v024,1.6666666666666667
i078,v008,10.0
i079,v075,9.666666666666666
i080,v015,15.0
i081,v017,4.333333333333333
i082,out,
i083,v077,15.0
i084,v073,7.333333333333333
i085,v026,6.0
i086,v040,5.666666666666667
i087,out,
i088,out,
i089,out,
i090,v089,17.666666666666668
i091,out,
i092,v087,19.0
i093,v093,1.3333333333333333
i094,v030,14.666666666666666
i095,out,
i096,v033,7.0
i097,v055,10.0
i098,v068,5.666666666666667
i099,v055,1.0
i100,v009,5.0
i101,out,
i102,v091,11.0
i103,v081,1.3333333333333333
i104,v082,2.0
i105,v054,8.666666666666666
i106,v012,2.6666666666666665
i107,v040,4.666666666666667
i108,out,
i109,out,
i110,v011,15.333333333333334
i111,v084,6.0
i112,v047,0.0
i113,v068,3.6666666666666665
i114,v082,4.333333333333333
i115,out,
i116,v071,2.3333333333333335
i117,v001,11.333333333333334
i118,v100,3.3333333333333335
i119,v050,2.6666666666666665
i120,v086,1.0
i121,v082,2.0
i122,v042,9.333333333333334
i123,v077,3.0
i124,v058,16.666666666666668
i125,v005,11.0
i126,v077,9.666666666666666
i127,v065,9.0
i128,v051,2.6666666666666665
i129,v005,8.666666666666666
i130,v072,14.333333333333334
i131,v065,3.0
i132,v056,8.0
i133,v058,5.0
i134,v003,0.0
i135,v057,6.0
i136,v033,4.666666666666667
i137,out,
i138,out,
i139,v075,11.666666666666666
i140,v049,3.3333333333333335
i141,v043,9.0
i142,v070,4.0
i143,v098,3.6666666666666665
i144,v090,7.0
i145,v003,0.0
i146,v017,0.3333333333333333
i147,v005,4.333333333333333
i148,v095,11.666666666666666
i149,v099,8.0
i150,v024,6.666666666666667
i151,v051,2.6666666666666665
i152,v023,3.6666666666666665
i153,out,
i154,v053,13.333333333333334
i155,v034,4.333333333333333
i156,out,
i157,v030,5.0
